experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
285523,184,0.0,958,7.0,243.0
286200,185,0.0,677,7.0,243.0
286894,185,3.0,1371,7.0,246.0
287100,186,0.0,206,7.0,246.0
288000,186,0.0,1106,7.0,246.0
288900,186,0.0,2006,7.0,246.0
289060,186,0.0,2166,7.0,246.0
289800,187,1.0,740,7.0,247.0
290198,187,2.0,1138,7.0,248.0
290700,188,0.0,502,7.0,248.0
291338,188,2.0,1140,7.0,250.0
291600,189,0.0,262,7.0,250.0
292500,189,1.0,1162,7.0,251.0
292536,189,1.0,1198,7.0,251.0
293400,190,1.0,864,7.0,252.0
294154,190,1.0,1618,7.0,252.0
294300,191,0.0,146,7.0,252.0
295200,191,1.0,1046,7.0,253.0
295292,191,1.0,1138,7.0,253.0
296100,192,2.0,808,7.0,255.0
296773,192,3.0,1481,7.0,256.0
297000,193,0.0,227,7.0,256.0
297900,193,1.0,1127,7.0,257.0
298047,193,1.0,1274,7.0,257.0
298800,194,0.0,753,7.0,257.0
299700,194,2.0,1653,7.0,259.0
300387,194,3.0,2340,7.0,260.0
300600,195,0.0,213,7.0,260.0
301285,195,0.0,898,7.0,260.0
301500,196,0.0,215,7.0,260.0
302400,196,1.0,1115,7.0,261.0
303300,196,2.0,2015,7.0,262.0
303325,196,2.0,2040,7.0,262.0
304163,197,0.0,838,7.0,262.0
304200,198,0.0,37,7.0,262.0
305100,198,0.0,937,7.0,262.0
305603,198,2.0,1440,7.0,264.0
306000,199,0.0,397,7.0,264.0
306900,199,2.0,1297,7.0,266.0
307800,199,4.0,2197,7.0,268.0
308301,199,8.0,2698,8.0,272.0
308700,200,0.0,399,8.0,272.0
309600,200,1.0,1299,8.0,273.0
310459,200,1.0,2158,8.0,273.0
310500,201,0.0,41,8.0,273.0
311400,201,0.0,941,8.0,273.0
312300,201,1.0,1841,8.0,274.0
312617,201,1.0,2158,8.0,274.0
313200,202,1.0,583,8.0,275.0
314100,202,7.0,1483,8.0,281.0
314441,202,11.0,1824,11.0,285.0
315000,203,0.0,559,11.0,285.0
315449,203,0.0,1008,11.0,285.0
315900,204,1.0,451,11.0,286.0
316695,204,3.0,1246,11.0,288.0
316800,205,0.0,105,11.0,288.0
317700,205,0.0,1005,11.0,288.0
318067,205,1.0,1372,11.0,289.0
318600,206,0.0,533,11.0,289.0
319333,206,0.0,1266,11.0,289.0
319500,207,0.0,167,11.0,289.0
320291,207,2.0,958,11.0,291.0
320400,208,0.0,109,11.0,291.0
321300,208,0.0,1009,11.0,291.0
321963,208,1.0,1672,11.0,292.0
322200,209,0.0,237,11.0,292.0
323088,209,2.0,1125,11.0,294.0
323100,210,0.0,12,11.0,294.0
324000,210,0.0,912,11.0,294.0
324786,210,1.0,1698,11.0,295.0
324900,211,0.0,114,11.0,295.0
325800,211,2.0,1014,11.0,297.0
325924,211,2.0,1138,11.0,297.0
326700,212,0.0,776,11.0,297.0
327600,212,0.0,1676,11.0,297.0
327662,212,0.0,1738,11.0,297.0
328500,213,1.0,838,11.0,298.0
328920,213,2.0,1258,11.0,299.0
329400,214,0.0,480,11.0,299.0
330300,214,4.0,1380,11.0,303.0
330455,214,4.0,1535,11.0,303.0
331200,215,1.0,745,11.0,304.0
331617,215,2.0,1162,11.0,305.0
332100,216,0.0,483,11.0,305.0
333000,216,1.0,1383,11.0,306.0
333835,216,1.0,2218,11.0,306.0
333900,217,0.0,65,11.0,306.0
334800,217,1.0,965,11.0,307.0
334915,217,2.0,1080,11.0,308.0
335700,218,0.0,785,11.0,308.0
336293,218,0.0,1378,11.0,308.0
336600,219,0.0,307,11.0,308.0
337311,219,2.0,1018,11.0,310.0
337500,220,0.0,189,11.0,310.0
338400,220,4.0,1089,11.0,314.0
339163,220,5.0,1852,11.0,315.0
339300,221,0.0,137,11.0,315.0
340200,221,1.0,1037,11.0,316.0
341100,221,3.0,1937,11.0,318.0
341689,221,3.0,2526,11.0,318.0
342000,222,0.0,311,11.0,318.0
342767,222,0.0,1078,11.0,318.0
342900,223,0.0,133,11.0,318.0
343800,223,2.0,1033,11.0,320.0
344265,223,2.0,1498,11.0,320.0
344700,224,1.0,435,11.0,321.0
345283,224,1.0,1018,11.0,321.0
345600,225,0.0,317,11.0,321.0
346500,225,1.0,1217,11.0,322.0
346781,225,1.0,1498,11.0,322.0
347400,226,1.0,619,11.0,323.0
347861,226,2.0,1080,11.0,324.0
348300,227,0.0,439,11.0,324.0
349200,227,0.0,1339,11.0,324.0
350079,227,0.0,2218,11.0,324.0
350100,228,0.0,21,11.0,324.0
351000,228,0.0,921,11.0,324.0
351900,228,2.0,1821,11.0,326.0
352483,228,3.0,2404,11.0,327.0
352800,229,0.0,317,11.0,327.0
353700,229,1.0,1217,11.0,328.0
353797,229,1.0,1314,11.0,328.0
354600,230,1.0,803,11.0,329.0
355500,230,1.0,1703,11.0,329.0
355595,230,1.0,1798,11.0,329.0
356400,231,1.0,805,11.0,330.0
357300,231,2.0,1705,11.0,331.0
357753,231,2.0,2158,11.0,331.0
358200,232,0.0,447,11.0,331.0
359011,232,0.0,1258,11.0,331.0
359100,233,0.0,89,11.0,331.0
360000,233,0.0,989,11.0,331.0
360749,233,0.0,1738,11.0,331.0
