experiment_timestep,episode,episode_score,timestep_episode,best_score,accumulated_score
210022,91,30.0,1174,475.0,10145.0
210600,92,30.0,578,475.0,10175.0
211500,92,60.0,1478,475.0,10205.0
211976,92,85.0,1954,475.0,10230.0
212400,93,35.0,424,475.0,10265.0
213300,93,45.0,1324,475.0,10275.0
214010,93,70.0,2034,475.0,10300.0
214200,94,0.0,190,475.0,10300.0
215100,94,0.0,1090,475.0,10300.0
215562,94,0.0,1552,475.0,10300.0
216000,95,0.0,438,475.0,10300.0
216900,95,45.0,1338,475.0,10345.0
217618,95,45.0,2056,475.0,10345.0
217800,96,0.0,182,475.0,10345.0
218700,96,30.0,1082,475.0,10375.0
219600,96,80.0,1982,475.0,10425.0
219702,96,80.0,2084,475.0,10425.0
220500,97,10.0,798,475.0,10435.0
221400,97,10.0,1698,475.0,10435.0
221932,97,35.0,2230,475.0,10460.0
222300,98,15.0,368,475.0,10475.0
223200,98,40.0,1268,475.0,10500.0
223472,98,40.0,1540,475.0,10500.0
224100,99,0.0,628,475.0,10500.0
225000,99,0.0,1528,475.0,10500.0
225500,99,50.0,2028,475.0,10550.0
225900,100,0.0,400,475.0,10550.0
226800,100,65.0,1300,475.0,10615.0
227700,100,105.0,2200,475.0,10655.0
228600,100,140.0,3100,475.0,10690.0
229042,100,170.0,3542,475.0,10720.0
229500,101,10.0,458,475.0,10730.0
230400,101,10.0,1358,475.0,10730.0
231300,101,65.0,2258,475.0,10785.0
232170,101,185.0,3128,475.0,10905.0
232200,102,0.0,30,475.0,10905.0
233100,102,75.0,930,475.0,10980.0
233912,102,105.0,1742,475.0,11010.0
234000,103,0.0,88,475.0,11010.0
234900,103,15.0,988,475.0,11025.0
235800,103,35.0,1888,475.0,11045.0
236288,103,40.0,2376,475.0,11050.0
236700,104,0.0,412,475.0,11050.0
237600,104,0.0,1312,475.0,11050.0
238036,104,0.0,1748,475.0,11050.0
238500,105,15.0,464,475.0,11065.0
239400,105,45.0,1364,475.0,11095.0
240300,105,45.0,2264,475.0,11095.0
240706,105,45.0,2670,475.0,11095.0
241200,106,15.0,494,475.0,11110.0
242100,106,75.0,1394,475.0,11170.0
243000,106,90.0,2294,475.0,11185.0
243540,106,145.0,2834,475.0,11240.0
243900,107,0.0,360,475.0,11240.0
244668,107,5.0,1128,475.0,11245.0
244800,108,0.0,132,475.0,11245.0
245700,108,5.0,1032,475.0,11250.0
246600,108,10.0,1932,475.0,11255.0
246654,108,10.0,1986,475.0,11255.0
247500,109,35.0,846,475.0,11290.0
248400,109,50.0,1746,475.0,11305.0
248690,109,50.0,2036,475.0,11305.0
249300,110,10.0,610,475.0,11315.0
250200,110,10.0,1510,475.0,11315.0
250710,110,30.0,2020,475.0,11335.0
251100,111,30.0,390,475.0,11365.0
252000,111,35.0,1290,475.0,11370.0
252900,111,90.0,2190,475.0,11425.0
253800,111,325.0,3090,475.0,11660.0
253802,111,325.0,3092,475.0,11660.0
254700,112,0.0,898,475.0,11660.0
255600,112,0.0,1798,475.0,11660.0
255802,112,5.0,2000,475.0,11665.0
256500,113,25.0,698,475.0,11690.0
257400,113,100.0,1598,475.0,11765.0
258300,113,160.0,2498,475.0,11825.0
259018,113,165.0,3216,475.0,11830.0
259200,114,0.0,182,475.0,11830.0
260100,114,30.0,1082,475.0,11860.0
261000,114,155.0,1982,475.0,11985.0
261720,114,190.0,2702,475.0,12020.0
261900,115,0.0,180,475.0,12020.0
262800,115,15.0,1080,475.0,12035.0
263700,115,80.0,1980,475.0,12100.0
263836,115,80.0,2116,475.0,12100.0
264600,116,15.0,764,475.0,12115.0
265500,116,50.0,1664,475.0,12150.0
266312,116,55.0,2476,475.0,12155.0
266400,117,0.0,88,475.0,12155.0
267300,117,10.0,988,475.0,12165.0
267388,117,10.0,1076,475.0,12165.0
268200,118,40.0,812,475.0,12205.0
269100,118,70.0,1712,475.0,12235.0
269428,118,105.0,2040,475.0,12270.0
270000,119,35.0,572,475.0,12305.0
270900,119,35.0,1472,475.0,12305.0
270908,119,35.0,1480,475.0,12305.0
271800,120,5.0,892,475.0,12310.0
271922,120,5.0,1014,475.0,12310.0
272700,121,20.0,778,475.0,12330.0
273600,121,40.0,1678,475.0,12350.0
274104,121,60.0,2182,475.0,12370.0
274500,122,0.0,396,475.0,12370.0
275400,122,5.0,1296,475.0,12375.0
275714,122,30.0,1610,475.0,12400.0
276300,123,15.0,586,475.0,12415.0
277200,123,90.0,1486,475.0,12490.0
277744,123,130.0,2030,475.0,12530.0
278100,124,0.0,356,475.0,12530.0
279000,124,30.0,1256,475.0,12560.0
279652,124,65.0,1908,475.0,12595.0
279900,125,0.0,248,475.0,12595.0
280800,125,60.0,1148,475.0,12655.0
281700,125,125.0,2048,475.0,12720.0
281834,125,325.0,2182,475.0,12920.0
282600,126,55.0,766,475.0,12975.0
283500,126,85.0,1666,475.0,13005.0
284400,126,120.0,2566,475.0,13040.0
284804,126,150.0,2970,475.0,13070.0
285300,127,5.0,496,475.0,13075.0
286200,127,20.0,1396,475.0,13090.0
287100,127,25.0,2296,475.0,13095.0
287256,127,50.0,2452,475.0,13120.0
288000,128,25.0,744,475.0,13145.0
288900,128,25.0,1644,475.0,13145.0
289322,128,50.0,2066,475.0,13170.0
289800,129,0.0,478,475.0,13170.0
290700,129,20.0,1378,475.0,13190.0
291062,129,20.0,1740,475.0,13190.0
291600,130,0.0,538,475.0,13190.0
292442,130,50.0,1380,475.0,13240.0
292500,131,0.0,58,475.0,13240.0
293400,131,5.0,958,475.0,13245.0
294300,131,70.0,1858,475.0,13310.0
294386,131,95.0,1944,475.0,13335.0
295200,132,50.0,814,475.0,13385.0
296100,132,305.0,1714,475.0,13640.0
297000,132,365.0,2614,475.0,13700.0
297900,132,385.0,3514,475.0,13720.0
298698,132,430.0,4312,475.0,13765.0
298800,133,0.0,102,475.0,13765.0
299700,133,20.0,1002,475.0,13785.0
300568,133,45.0,1870,475.0,13810.0
300600,134,0.0,32,475.0,13810.0
301500,134,15.0,932,475.0,13825.0
301626,134,30.0,1058,475.0,13840.0
302400,135,15.0,774,475.0,13855.0
302740,135,20.0,1114,475.0,13860.0
303300,136,0.0,560,475.0,13860.0
304200,136,10.0,1460,475.0,13870.0
305038,136,30.0,2298,475.0,13890.0
305100,137,0.0,62,475.0,13890.0
305984,137,15.0,946,475.0,13905.0
306000,138,0.0,16,475.0,13905.0
306900,138,50.0,916,475.0,13955.0
307800,138,95.0,1816,475.0,14000.0
308116,138,150.0,2132,475.0,14055.0
308700,139,15.0,584,475.0,14070.0
309600,139,55.0,1484,475.0,14110.0
309656,139,55.0,1540,475.0,14110.0
310500,140,20.0,844,475.0,14130.0
311400,140,55.0,1744,475.0,14165.0
311750,140,55.0,2094,475.0,14165.0
312300,141,5.0,550,475.0,14170.0
313200,141,25.0,1450,475.0,14190.0
314100,141,65.0,2350,475.0,14230.0
314680,141,105.0,2930,475.0,14270.0
315000,142,0.0,320,475.0,14270.0
315900,142,35.0,1220,475.0,14305.0
316800,142,105.0,2120,475.0,14375.0
317202,142,135.0,2522,475.0,14405.0
317700,143,15.0,498,475.0,14420.0
318366,143,45.0,1164,475.0,14450.0
318600,144,0.0,234,475.0,14450.0
319500,144,15.0,1134,475.0,14465.0
319874,144,45.0,1508,475.0,14495.0
320400,145,55.0,526,475.0,14550.0
321300,145,105.0,1426,475.0,14600.0
322200,145,160.0,2326,475.0,14655.0
322436,145,160.0,2562,475.0,14655.0
323100,146,25.0,664,475.0,14680.0
324000,146,55.0,1564,475.0,14710.0
324452,146,100.0,2016,475.0,14755.0
324900,147,0.0,448,475.0,14755.0
325800,147,35.0,1348,475.0,14790.0
326396,147,45.0,1944,475.0,14800.0
326700,148,0.0,304,475.0,14800.0
327600,148,30.0,1204,475.0,14830.0
328500,148,35.0,2104,475.0,14835.0
329400,148,35.0,3004,475.0,14835.0
329732,148,55.0,3336,475.0,14855.0
330300,149,0.0,568,475.0,14855.0
331200,149,50.0,1468,475.0,14905.0
332100,149,70.0,2368,475.0,14925.0
332280,149,85.0,2548,475.0,14940.0
333000,150,45.0,720,475.0,14985.0
333900,150,65.0,1620,475.0,15005.0
334800,150,95.0,2520,475.0,15035.0
335000,150,95.0,2720,475.0,15035.0
335700,151,35.0,700,475.0,15070.0
336600,151,65.0,1600,475.0,15100.0
337296,151,110.0,2296,475.0,15145.0
337500,152,0.0,204,475.0,15145.0
338400,152,20.0,1104,475.0,15165.0
339300,152,95.0,2004,475.0,15240.0
339316,152,95.0,2020,475.0,15240.0
340200,153,20.0,884,475.0,15260.0
340890,153,50.0,1574,475.0,15290.0
341100,154,0.0,210,475.0,15290.0
342000,154,75.0,1110,475.0,15365.0
342900,154,140.0,2010,475.0,15430.0
343732,154,195.0,2842,475.0,15485.0
343800,155,0.0,68,475.0,15485.0
344700,155,35.0,968,475.0,15520.0
345230,155,45.0,1498,475.0,15530.0
345600,156,0.0,370,475.0,15530.0
346500,156,10.0,1270,475.0,15540.0
347070,156,55.0,1840,475.0,15585.0
347400,157,0.0,330,475.0,15585.0
348300,157,50.0,1230,475.0,15635.0
349200,157,75.0,2130,475.0,15660.0
349934,157,160.0,2864,475.0,15745.0
350100,158,0.0,166,475.0,15745.0
351000,158,0.0,1066,475.0,15745.0
351826,158,0.0,1892,475.0,15745.0
351900,159,0.0,74,475.0,15745.0
352800,159,25.0,974,475.0,15770.0
353700,159,40.0,1874,475.0,15785.0
354396,159,95.0,2570,475.0,15840.0
354600,160,0.0,204,475.0,15840.0
355500,160,75.0,1104,475.0,15915.0
356400,160,90.0,2004,475.0,15930.0
357300,160,100.0,2904,475.0,15940.0
358200,160,210.0,3804,475.0,16050.0
358342,160,210.0,3946,475.0,16050.0
359100,161,5.0,758,475.0,16055.0
359934,161,10.0,1592,475.0,16060.0
360000,162,0.0,66,475.0,16060.0
360900,162,20.0,966,475.0,16080.0
361800,162,35.0,1866,475.0,16095.0
